Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.9095576619273301,0.8027210884353742,0.5798525798525799,0.6733238231098431,0.928796646914294
Random Forest,0.9514218009478673,0.9080459770114943,0.7764127764127764,0.8370860927152318,0.9864968926145398
Gradient Boosting,0.9605055292259084,0.9398280802292264,0.8058968058968059,0.8677248677248677,0.988663101604278
