Threshold,Precision,Recall
0.0011263427898489452,0.16074249605055294,1.0
0.0011786080424345403,0.1608060055314105,1.0
0.0013115032350097381,0.1608695652173913,1.0
0.0013129861557868306,0.1609331751680506,1.0
0.0014326598157093362,0.16099683544303797,1.0
0.0014802239657661813,0.16106054610209736,1.0
0.001566767329685945,0.1611243072050673,1.0
0.00169245347066738,0.1611881188118812,1.0
0.0017293819870261777,0.16125198098256735,1.0
0.00174211119914073,0.1613158937772493,1.0
0.0017588946006076452,0.16137985725614593,1.0
0.0018714282102599545,0.1614438714795716,1.0
0.0024100337738088853,0.16150793650793652,1.0
0.0024249456299039965,0.1615720524017467,1.0
0.0024342346556060815,0.16163621922160445,1.0
0.0025022379143136405,0.1617004370282082,1.0
0.002600096562184899,0.16176470588235295,1.0
0.0026468674230233622,0.16182902584493042,1.0
0.002722220523366541,0.1618933969769292,1.0
0.002783236052393295,0.16195781933943493,1.0
0.0027908674556583074,0.16202229299363058,1.0
0.0027956587315739424,0.1620868180007965,1.0
0.00281081866934545,0.16215139442231075,1.0
0.0028189564050747607,0.16221602231964927,1.0
0.0028308599513025114,0.16228070175438597,1.0
0.002840345079980294,0.16234543278819305,1.0
0.0028450191493038144,0.16241021548284118,1.0
0.002865113032197297,0.1625399361022364,1.0
0.002872487809843833,0.1626048741510188,1.0
0.0028726300850348088,0.16266986410871304,1.0
0.002886773034605842,0.1628,1.0
0.002888553601199684,0.16286514605842337,1.0
0.0028980664108096367,0.16293034427542033,1.0
0.002902226895604821,0.16299559471365638,1.0
0.0029102581562526104,0.16306089743589744,1.0
0.0029303488514501813,0.16312625250501003,1.0
0.0029891031604320885,0.1631916599839615,1.0
0.0029931983459257046,0.1632571199358203,1.0
0.003006500430055512,0.16332263242375603,1.0
0.0030111988682216865,0.1634538152610442,1.0
0.0030217242997905495,0.16351948573724387,1.0
0.00302669389854849,0.16358520900321544,1.0
0.0030507970563698316,0.1636509851226377,1.0
0.0030753700288053388,0.16371681415929204,1.0
0.0030872667436108937,0.16378269617706237,1.0
0.003088204945171251,0.1638486312399356,1.0
0.0030898334427558157,0.1639146194120016,1.0
0.0030898384606891146,0.16398066075745366,1.0
0.0031161275108262296,0.16404675534058846,1.0
0.0031225945812326343,0.16411290322580646,1.0
0.0031304663723908813,0.16417910447761194,1.0
0.0031364699066201034,0.1642453591606134,1.0
0.003151428424699556,0.16431166733952363,1.0
0.003160779946865804,0.16437802907915994,1.0
0.0031826875360637186,0.16444444444444445,1.0
0.003185719300979719,0.1645109135004042,1.0
0.0031885146869444626,0.16464401294498382,1.0
0.0032029876150657657,0.16471064346418454,1.0
0.003229314414438219,0.16477732793522268,1.0
0.0032298710959445445,0.1648440664236533,1.0
0.003251520752827139,0.16491085899513777,1.0
0.0032554655861283407,0.16497770571544385,1.0
0.003260779574515408,0.16504460665044607,1.0
0.0032667899723687745,0.16511156186612577,1.0
0.0032672751540094385,0.16517857142857142,1.0
0.0032810326662151544,0.16524563540397888,1.0
0.0032921376289306433,0.1653127538586515,1.0
0.0032993891412016825,0.16551443676291175,1.0
0.0033059116662384315,0.16558177379983727,1.0
0.0033190592575501033,0.16564916564916565,1.0
0.0033219281381798886,0.16571661237785015,1.0
0.0033249347123305373,0.16578411405295315,1.0
0.0033332161581758283,0.16585167074164628,1.0
0.0033354166481634365,0.16591928251121077,1.0
0.003343326635080198,0.1660546715626275,1.0
0.0033552660866488157,0.16612244897959183,1.0
0.003360833971734394,0.1661902817476521,1.0
0.0033619455774043087,0.16625816993464052,1.0
0.0033750077129914026,0.1663261136085002,1.0
0.0033835136561339916,0.16639411283728536,1.0
0.0033937706685549006,0.16646216768916156,1.0
0.0033941132029138665,0.1665302782324059,1.0
0.0033942746450678373,0.1665984445354073,1.0
0.0033975765396521695,0.16666666666666666,1.0
0.0033993776921342708,0.16673494469479722,1.0
0.0034090910536712492,0.1668032786885246,1.0
0.0034126695711314886,0.16687166871668715,1.0
0.003413920660127539,0.16694011484823626,1.0
0.0034175047230785268,0.16700861715223636,1.0
0.0034354040042878535,0.16707717569786534,1.0
0.0034380330051123975,0.16714579055441478,1.0
0.0034397359145200085,0.16721446179129007,1.0
0.0034512517479132285,0.16728318947801069,1.0
0.0034540138466888706,0.16735197368421054,1.0
0.0034575276277707514,0.167420814479638,1.0
0.0034795270062365317,0.16748971193415638,1.0
0.0034918688589470766,0.16755866611774392,1.0
0.0034945276856846994,0.16762767710049423,1.0
0.003498563049870553,0.1676967449526164,1.0
0.0035086824304191664,0.16776586974443528,1.0
0.003521064933476978,0.16783505154639175,1.0
0.003524170007653406,0.1679042904290429,1.0
0.003524177687570926,0.1680429397192403,1.0
0.003531076410725385,0.1681123502684841,1.0
0.0035519660161720938,0.16818181818181818,1.0
0.0035687985730551842,0.16825134353038446,1.0
0.0035756080502927397,0.16832092638544252,1.0
0.0035763293110120703,0.1683905668183699,1.0
0.0035794852767126496,0.16846026490066227,1.0
0.00358101212619246,0.16853002070393375,1.0
0.0035860381537187883,0.16859983429991715,1.0
0.003586346830791375,0.16866970576046414,1.0
0.0035992862281357205,0.16873963515754561,1.0
0.0036312866621689577,0.16880962256325177,1.0
0.003637580259037109,0.1689497716894977,1.0
0.003639095933836356,0.1690199335548173,1.0
0.003646177068940132,0.16909015371832156,1.0
0.0036566040657694467,0.16916043225270158,1.0
0.003670170859433109,0.16923076923076924,1.0
0.003671458532080607,0.16930116472545756,1.0
0.003672172501030332,0.16937161880982105,1.0
0.0036778100728924825,0.1694421315570358,1.0
0.003683971642120449,0.16951270304039984,1.0
